platform,komentar,timestamp,sentimen
Instagram,🤣🤣😭😭 ng tapi lupa caranya…,5/3/2025 21:46,netral
Instagram,yg paliebe jadi pemimpin sejak rp kalkut dan akhirnya kepilih banalah ini kan pilihan kalian? 🤮,5/3/2025 21:46,netral
Instagram,salah ini lebih parah dari 2014 -,5/3/2025 21:46,netral
Instagram,aku paling respek sama org2 yg kmrn pilih tp tradar dan insyaf pilihaya . itu namanya sportif dan aras dan . palinedeg sama yg udh udh tau akhirnya tp msh h malah bilang org lain sakit hati gara2 gengsi atau emang udh mati logika yah? 🤔🤔🤔,5/3/2025 21:46,netral
Instagram,harusnya itukan pilihan kalian semua😂,5/3/2025 21:46,netral
Instagram,pantang mundur praboo gibran 🔥🔥,5/3/2025 21:46,netral
Instagram,kaum 58% emang hobi,5/3/2025 21:46,netral
Instagram,macan asia masa disetir kang kayu 😂,5/3/2025 21:46,netral
Instagram,bukaya hidup rakyat lah ini mah makin udh keliatan,5/3/2025 21:46,netral
Instagram,kenapa ya di salah satu platform banyak yg komentar tentang ketidaksukn merektas apa yg dilakukan oleh mahasisa yaitu demo? apakah sekarang dengan demo dianap merugikan masyarakat lain yg tidak demo? ada yg bilang kalo demo bikin susah orang yg mau berangkat kerjntar . ada jg yg bilang contoh orangtuanya pakai listrik yg diskonaknya malah ga . sebenernya efisiensi anaran ini tuh emang banyak dampak buruk atau baik nya? ada yg bisa jelaskan?,5/3/2025 21:46,netral
Instagram,yg milih kudu ikuanung .,5/3/2025 21:46,netral
Instagram,ya begitulah demokrasi disuguhkan ke orang2 yak mikir 😁 kemanja ? baru sadar,5/3/2025 21:46,netral
Instagram,dibilangigeyel sih😂 is i lat tp gmn ya bingung karna siun kemarin yg menang p aja 02 . karna kubu mereka punya poer ordal,5/3/2025 21:46,netral
Instagram,secara logika sebelum rencana jahat itu sudah trkrg baru pada kerasa gitu? diaali dengan pertama kalj nya calon akil presiden yang tidak masuriteria dan di sekarang apa? nimkamti,5/3/2025 21:46,netral
Instagram,makan siang di penkan di masa depan di hancurkan👏🏼,5/3/2025 21:46,netral
Instagram,miridm ... kalian malah nyalahin presidenya sdngkan yng bermasalah .. aplagi dpr seharusnya yng di kritik dprnng bikin .. dean perakilan rakyat seharusnya tugs mereka mendngrkan apa kata rakyat bkn kata mereka ..,5/3/2025 21:46,netral
Instagram,ih koq,5/3/2025 21:46,netral
Instagram,makanya jgn fomo kalau liat dulu latar .,5/3/2025 21:46,netral
Instagram,alah yang nyoblos beliau jangagerasa lu juga suort plaku,5/3/2025 21:46,netral
Instagram,rematch mulu,5/3/2025 21:46,netral
Instagram,karena pdip keo jadi gela deh😂😂😂😂,5/3/2025 21:46,netral
Instagram,agr? @,5/3/2025 21:46,netral
Instagram,giliran udh gini pada bilang jgn mengkotak2 an pndukung pilpres yg udh lalu lah stnya bersuara bukan dgn 48% tapi 1% elah kesadaraya telaapi denial bukan krna pilpres kocaq ~,5/3/2025 21:46,netral
Instagram,bagus bat buat,5/3/2025 21:46,netral
Instagram,yang baah yang atas bagi2,5/3/2025 21:46,netral
Instagram,kapan udah gerah gue 🔥🔥🔥🤣 @,5/3/2025 21:46,netral
Instagram,slide min pen muntah liat muka beler,5/3/2025 21:46,netral
Instagram,menuju indonesia (c)emas 😍😍😍,5/3/2025 21:46,netral
Instagram,oke gas oke gas 😂 alhamduliah saya tidak di barisadasmu mint k 🤣,5/3/2025 21:46,netral
Instagram,@ cik… .. .. 😷,5/3/2025 21:46,netral
Instagram,justru semuany kebongkar jaman praboo,5/3/2025 21:46,netral
Instagram,makan tuh anak muda,5/3/2025 21:46,netral
Instagram,ku kira macan asia gataunya cuma lansia 😂,5/3/2025 21:46,netral
Instagram,foto yg harus pake trier arning sih 😷,5/3/2025 21:46,netral
Instagram,"betul negerni sangaidak . bukan untuk membela tapi terpikirkan baha ps itu dalam po maju kena mundur . melanjutkan """" kontrak politiknya dengan mensokong "" yang mendukung nya untuk terpilih (timikatasdukungan). yang nanti padkhirnya dinasty mulyono berlanjut karena penyerahan ke akil negerni (jikamemangkeosterjadi).",5/3/2025 21:46,netral
Instagram,aduh😂,5/3/2025 21:46,netral
Instagram,jangan pernah percaya dndonesia dan partai politik hanya untuk mencari kekuasn bukan berpihaepada rakyat,5/3/2025 21:46,netral
Instagram,bisa ini di jadn inspirasi lirik lagu 😁😁,5/3/2025 21:46,netral
Instagram,😂😂😂😂mampus kaum 58%,5/3/2025 21:46,netral
Instagram,""" yg kmrin milih bapak gemoy☺️",5/3/2025 21:46,netral
Instagram,iya juga y 😂,5/3/2025 21:46,netral
Instagram,yah namanya jg,5/3/2025 21:46,netral
Instagram,iya lagi,5/3/2025 21:46,netral
Instagram,second aount ga tuh 😭,5/3/2025 21:46,netral
Instagram,bener .... 😭,5/3/2025 21:46,netral
Instagram,second aount 😭,5/3/2025 21:46,netral
Instagram,minimal nye ndasmu!!!!,5/3/2025 21:46,netral
Instagram,hidup di negeri ...🤣🤣🤣🤣🤣,5/3/2025 21:46,netral
Instagram,dulu mega punya sekarag boneka itu punya boneka juga 🤣🤣 lutjunya di,5/3/2025 21:46,netral
Instagram,ngomong retreaetep stafsus nambah . efisiensi,5/3/2025 21:46,netral
Instagram,"pak praboo dengan lantang nya "" hidup .."" ber di acara partai yang begitu ... tau kan aprtinya itu ??",5/3/2025 21:46,netral
Instagram,jadi mending makan geratis atau penkan geratis?,5/3/2025 21:46,netral
Instagram,iya lagi 🥲,5/3/2025 21:46,netral
Instagram,🕺: ndasm!! hidup jokoi!!,5/3/2025 21:46,netral
Instagram,jogetin aja lah 🤣,5/3/2025 21:46,netral
Instagram,pake akun kroco yang habis lose streak,5/3/2025 21:46,netral
Instagram,that's . jokoi d ujudkan impiaya 3 .,5/3/2025 21:46,netral
Instagram,"bisa gak sih kacaunya buat pendukung 02 aja !! gausah "" yg lain😢",5/3/2025 21:46,netral
Instagram,indonesia udah stnya masuk era revolusi part,5/3/2025 21:46,netral
Instagram,menurut akdah bener kip cabut aja biar adil semua ga dapet dr papep kebanyakan yang kaya yg bukan salah presiden sepenuhnya tapi juga salah yang kaymbil hak orang miskin blm tentu jugnis yang jadi presiden langsung bener sejauh memimpin cuma jadi,5/3/2025 21:46,netral
Instagram,kan emg udah di spi dari pas,5/3/2025 21:46,netral
Instagram,pake jokni bro👏,5/3/2025 21:46,netral
Instagram,kucing ..,5/3/2025 21:46,netral
Instagram,untung integritas g terjaga dengan tidak memilih angka genap👏,5/3/2025 21:46,netral
Instagram,terbakar abangku 🔥,5/3/2025 21:46,netral
Instagram,mental pemberontak itu pemimpiy pasti dia .,5/3/2025 21:46,netral
Instagram,silent majority makin silent 😂,5/3/2025 21:46,netral
Instagram,ternyata golput gue ga ngaruh2,5/3/2025 21:46,netral
Instagram,negara probation,5/3/2025 21:46,netral
Instagram,aduh 2 pusing kepala bos ku lanjutkan pak 👏😭,5/3/2025 21:46,netral
Instagram,untun golput pilpres,5/3/2025 21:46,netral
Instagram,pilihan siapa ni,5/3/2025 21:46,netral
Instagram,jendral di,5/3/2025 21:46,netral
Instagram,cuma bisa,5/3/2025 21:46,netral
Instagram,baru pada sadar kah klo dia cuma jadi ..,5/3/2025 21:46,netral
Instagram,indinisi gilip hilih kintil ke kampus aja pake bensin,5/3/2025 21:46,netral
Instagram,"""hidup """,5/3/2025 21:46,netral
Instagram,g kata 🤣🤣🤣🤣🤣😂😂😂,5/3/2025 21:46,netral
Instagram,petruk bukan sembarang petruk 😂,5/3/2025 21:46,netral
Instagram,semoga rakyat kuat dengan cobn gelap ....,5/3/2025 21:46,netral
Instagram,panjang umur akal sehat 🌻,5/3/2025 21:46,netral
Instagram,sirik,5/3/2025 21:46,netral
Instagram,lagian ko yg pilih ga paham si pas liat visi misi aja udah aneh mau lanjutin kebijakan jk🤣,5/3/2025 21:46,netral
Instagram,dua2nya melayani big bo yg,5/3/2025 21:46,netral
Instagram,sekelas dia tunduk ama atau emaberkelas?😭,5/3/2025 21:46,netral
Instagram,akun smurf,5/3/2025 21:46,netral
Instagram,apakabar para pendukung ya suka ? bilang hidup loh 😂,5/3/2025 21:46,netral
Instagram,58% oke .,5/3/2025 21:46,netral
Instagram,sedih ga sih liat indo makin carut marut begini 😢,5/3/2025 21:46,netral
Instagram,m yang pilih siapa oi m golput untuk sekarang kemarin kana figur gda yang bener kerasa real dan keliatan,5/3/2025 21:46,netral
Instagram,kukira ternyata,5/3/2025 21:46,netral
Instagram,percaybis praboo yg jdi presiden pasti di teruskan sama gibran yg calon jadi presiden abis gibran keluarga yg lain calon liat,5/3/2025 21:46,netral
Instagram,😆😆😆😆😆,5/3/2025 21:46,netral
Instagram,bagus,5/3/2025 21:46,netral
Instagram,yang nyatanya yg ngomong ....arg belibet mau ngetik aja 🤣😭,5/3/2025 21:46,netral
Instagram,dikasih perubahan tp lebih milih lanjutkan,5/3/2025 21:46,netral
Instagram,kukira presiden pemimpin tertini di sebuah tapi ternyata hidup jokoi hidup jokoi 😂😂🤣🤣🤣🤣,5/3/2025 21:46,netral
Instagram,second aount ga tu🤣🤣🤣,5/3/2025 21:46,netral
Instagram,maunya jadi ... netijen pls atch-out!,5/3/2025 21:46,netral
Instagram,padahal yg dimaksud efesiensi anaran adalah pemotongaran yg di perkirakan tidak terlalu membutuhkan dana yg besar tapi kenapa semua nganep ny uang penkan semuanya di potong padahal kip kuliah bantuan penkan juga masih aj heran juga kadang liatnya,5/3/2025 21:46,netral
Instagram,yang milih kemaren siapa?,5/3/2025 21:46,netral
Instagram,baa pensan ini ke,5/3/2025 21:46,netral
Instagram,ah🤣🤣🤣,5/3/2025 21:46,netral
Instagram,k ternyat masih presiden 😂,5/3/2025 21:46,netral
Instagram,pendukungnya ga tau atau emana sampe sih? kok iya dari aal ga curiga padahal seterang benderang itu clue nya😂,5/3/2025 21:46,netral
Instagram,pokonya hidup ndas,5/3/2025 21:46,netral
Instagram,58% bagaimana komentarnya?,5/3/2025 21:46,netral
Instagram,pak boneka sama kayak boneka megacha😂,5/3/2025 21:46,netral
Instagram,bener bgt😭,5/3/2025 21:46,netral
Instagram,yan heran pendukungnya dulu skrg pada kmn? apakah mereka menyesal? atau mereka tetap buta?,5/3/2025 21:46,netral
Instagram,ribet,5/3/2025 21:46,netral
Instagram,ah coba literasi di tigkatin 🙏 no tapi cobalah untuk lebih jernih,5/3/2025 21:46,netral
Instagram,kasian banget jadi kaum sakit setiap buka sosmean liav selalu sakit hati dan kepanasan 🤣,5/3/2025 21:46,netral
Instagram,lebih tepat pake stunt man sih😂😂😂,5/3/2025 21:46,netral
Instagram,@ pke akun ciki pak,5/3/2025 21:46,netral
Instagram,kaum 58 pas ga prcya klo pa msh d tempelin .. haduh 🤦🏻‍♀️,5/3/2025 21:46,netral
Instagram,negara sakit yang milih juga saki😂😂😂😭😭😭,5/3/2025 21:46,netral
Instagram,bener,5/3/2025 21:46,netral
Instagram,karena sekarang menang push rank dijokn player,5/3/2025 21:46,netral
Instagram,siape sih yg milih?,5/3/2025 21:46,netral
Instagram,habis gelap terbitlah,5/3/2025 21:46,netral
Instagram,endonesah,5/3/2025 21:46,netral
Instagram,kan dari kampanye juga udah dikasih tau % mana nyaho 😢,5/3/2025 21:46,netral
Instagram,that second aount 🤣🤣🤣🤣,5/3/2025 21:46,netral
Instagram,ha gokel 👏🔥,5/3/2025 21:46,netral
Instagram,buer oh buer segitunya ngancuriegara lu . minimal cari lah rezeki yang h bukan dengan cara pembodohan rakyat . sekarang udah kayak rakyat sendiri yang kena . ga kebayang nanti skenarionypalagi biaaa ini tetap .,5/3/2025 21:46,netral
Instagram,malu gua mah @,5/3/2025 21:46,netral
Instagram,kabarin kalo negara ini mau bangkrut biar g,5/3/2025 21:46,netral
Instagram,from yntkts to,5/3/2025 21:46,netral
Instagram,jokoi dulu bonekanya sekarang praboo jd bonekanya jokoi 😂,5/3/2025 21:46,netral
Instagram,aalamu’alaikum 58%,5/3/2025 21:46,netral
Instagram,amjay second a 🤣🤣,5/3/2025 21:46,netral
Instagram,tapi pendukung second aount nya marah loh kalo disamain sama first aount,5/3/2025 21:46,netral
Instagram,second aount😭,5/3/2025 21:46,netral
Instagram,🤣🤣🤣🤣🤣,5/3/2025 21:46,netral
Instagram,duh bener semua lagi😢😭,5/3/2025 21:46,netral
Instagram,oligarki tru berlanjut 🔥,5/3/2025 21:46,netral
Instagram,dan ada loh 58 yang bener² udah tau dan sadar kalo dukungaya tapi masih ngebela 😭,5/3/2025 21:46,netral
Instagram,namanya juga bobrok 😭,5/3/2025 21:46,netral
Instagram,masih uh di pilih sama arga 58% 😂,5/3/2025 21:46,netral
Instagram,token listrik dapet subsidi gaemaren?,5/3/2025 21:46,netral
Instagram,kan dari aal juga berkelanjutan jadi y,5/3/2025 21:46,netral
Instagram,namanya juga banyak bngt ujiaya☺️☺️,5/3/2025 21:46,netral
Instagram,yang milih dengan sadar kan tau di aal bilang mereka mah mengusung . dikasih pilihan perubahada pada yoes 🥰🌷😚,5/3/2025 21:46,netral
Instagram,saking lucunya temenku pnypong 58% ikutan bkin stori kek gini😮😂,5/3/2025 21:46,netral
Instagram,😂😂😂😂 iy,5/3/2025 21:46,netral
Instagram,10 tahun bukan dijadn pembelajaran eh malah nambah 5 tahun😂😂😂,5/3/2025 21:46,netral
Instagram,makan siang penkan ditelantarkaegara tak lama lagi menuju,5/3/2025 21:46,netral
Instagram,lari min lari🥶,5/3/2025 21:46,netral
Instagram,satu² nya yg diunulkan cuma token listrik .. .. ya gak broh arga 58% ??,5/3/2025 21:46,netral
Instagram,maren aje pda lu dukung,5/3/2025 21:46,netral
Instagram,menuju indonesia emas 🔥,5/3/2025 21:46,netral
Instagram,kuasa jaa,5/3/2025 21:46,netral
Instagram,nah kan !🔥,5/3/2025 21:46,netral
Instagram,cuma ganti,5/3/2025 21:46,netral
Instagram,terus maunya yg jadi presiden siapa😂 heran gua masih aja pada sakit hati 😂,5/3/2025 21:46,netral
Instagram,iy 58% nyadar gak ya?😢😢😢,5/3/2025 21:46,netral
Instagram,kok bisa sih kek ginian leat d😂😂😂 udah realitanya beneran lagi😂😂😂pake lu leat segala😂😂😂,5/3/2025 21:46,netral
Instagram,koncet kau @,5/3/2025 21:46,netral
Instagram,dulu 2x tapi pas ke 3 ini gak milih lagi karna udh tercium 3 periode nya,5/3/2025 21:46,netral
Instagram,selagi masih sekoleah pasti gak beda jauh,5/3/2025 21:46,netral
Instagram,jk itu madara uchiha 😂,5/3/2025 21:46,netral
Instagram,rakyat indonesia udah ngalamin banyaecen setelah rapa mega pemerintah cukup,5/3/2025 21:46,netral
Instagram,mentang2 second aount malah snaknya dan . 🤣,5/3/2025 21:46,netral
Instagram,aku ada baca berita dari platform sebelah yaasih opini . katanya ini semua dilakuin buat memperkuat ekonomi . klo misalnya ekonomndonesia stabil dan jadi akses penkan itu jauh lebih mudah dan ini semua bisa terujud klo misalkan ekonomi dndonesia ini udah tumbuh baiurang lebih gini sih yg aku tangkep (mf klo keliru). aku mau tau dari sudut pandang kalian terima,5/3/2025 21:46,netral
Instagram,ng bgt second aount yah 😭😭😭,5/3/2025 21:46,netral
Instagram,dari aal kampanye bahkan udah kelihatan,5/3/2025 21:46,netral
Instagram,potensi 4,5/3/2025 21:46,netral
Instagram,gak bahaya ta?🤣,5/3/2025 21:46,netral
Instagram,mari terus .. 🔥🔥🔥👏,5/3/2025 21:46,netral
Instagram,syukurlah saya masih dibarisan pilih pak anies dmasa pilpres ..karna saya dh tau skenarionya kedepan yg dibuat kluarga,5/3/2025 21:46,netral
Instagram,semuanya kacau 😭,5/3/2025 21:46,netral
Instagram,tapi masih banyak lo yg .. alau perekonomiaya cinta .. 😭😭,5/3/2025 21:46,netral
Instagram,baca dulu deh efisiensi anaran itu . baru 😂,5/3/2025 21:46,netral
Instagram,dari aal kan sudah,5/3/2025 21:46,netral
Instagram,hh😢 gebrakaydja lagi😭,5/3/2025 21:46,netral
Instagram,dasar anak,5/3/2025 21:46,netral
Instagram,lah dr aal udah pada tau kalo ini 3 ketinalan atau kecea?,5/3/2025 21:46,netral
Instagram,kan dari aal kampanye udah mereka konsep,5/3/2025 21:46,netral
Instagram,ya pesan dari saya cuman ...kualitas penkan kitkan mtukan pilihan kita😂😂😂,5/3/2025 21:46,netral
Instagram,minimal pake trier arning fotonya 😢,5/3/2025 21:46,netral
Instagram,ha! makin hari makin kacau,5/3/2025 21:46,netral
Instagram,yang memimpdonesia kalau masih manusia tetap ada opo opo yang bagaimana,5/3/2025 21:46,netral
Instagram,kiano liat,5/3/2025 21:46,netral
Instagram,asem 👏😂,5/3/2025 21:46,netral
Instagram,share 🔥🔥🔥🔥,5/3/2025 21:46,netral
Instagram,heraya 58% betah dengan keadegara kaya,5/3/2025 21:46,netral
Instagram,16% masih sakit kah?..😂,5/3/2025 21:46,netral
Instagram,yah bener gs indonesia😢,5/3/2025 21:46,netral
Instagram,dulu banyak yang pilih karena dipikirnya bukan presiden ternyata samja 🤧🤧🤧,5/3/2025 21:46,netral
Instagram,aduh lucu lgi sec a 🤣,5/3/2025 21:46,netral
Instagram,pict 3 k dibuatin,5/3/2025 21:46,netral
Instagram,gue bersyukur bgt kemaren ga milih . alaupun sebelumnya gue di pihak . alhamduliah aah kasih akal gue masih,5/3/2025 21:46,netral
Instagram,kan g udah,5/3/2025 21:46,netral
Instagram,capek menasehati kaum 58%,5/3/2025 21:46,netral
Instagram,selamas pilihan teman2,5/3/2025 21:46,netral
Instagram,efisiensi nyusahin bikin pegaai kontrak bumn pada di cut-,5/3/2025 21:46,netral
Instagram,mau liat mana yg dulu mengagungkan 02? saya kinta,5/3/2025 21:46,netral
Instagram,yg satu ngebet pengen yg satunya lagi ngebet gitu gk sih konsepnya 🙄,5/3/2025 21:46,netral
Instagram,aduh pengen reposapi takud 😭,5/3/2025 21:46,netral
Instagram,3 ketiga pakai .,5/3/2025 21:46,netral
Instagram,lol 😭,5/3/2025 21:46,netral
Instagram,temen ku gaikut milih kena dampak juga 🤣,5/3/2025 21:46,netral
Instagram,selama ini taira yg ruet ternyata endasnya sama ...😂,5/3/2025 21:46,netral
Instagram,tuh okeh gas okeh gas aja kmrin 😅,5/3/2025 21:46,netral
Instagram,cek story langsung po kaosnya🔥,5/3/2025 21:46,netral
Instagram,masa gak paham dari aal banteng tolak jokoi 3,5/3/2025 21:46,netral
Instagram,baru kalni merasa pataati sama emang sih aku bukan aku bayar pajak dipotong baznas ...ya mbok jangam nyusajin rakyat 😭,5/3/2025 21:46,netral
Instagram,penyakit hati penyakit hati astaghfiruah😢,5/3/2025 21:46,netral
Instagram,efisiensi = kurangi gaji perbanyak mercy dan,5/3/2025 21:46,netral
Instagram,second aount 🙂,5/3/2025 21:46,netral
Instagram,disuruh berubah pd pgn yg ikut protes jg kan?🫠🫠,5/3/2025 21:46,netral
Instagram,ok gas 🤣 ...,5/3/2025 21:46,netral
Instagram,yg milih dia na usah nikmatin ... oke oke gas🤪,5/3/2025 21:46,netral
Instagram,misi dia jadi presiden udah mau program yang dia janjikan yang penting mah jalan 🤣,5/3/2025 21:46,netral
Instagram,kemaren aja gua ogah mau berapa kalipun p golput selagi r hukuman mati dan sitset belum disahkan jangan harap elu dan semua masyarakat pada,5/3/2025 21:46,netral
Instagram,aas 98 jilid .. pak?😮,5/3/2025 21:46,netral
Instagram,dikasih pemimpgin merubah lebih baik lagi malah pilih mak oke gas labrak gas d miris 2029 harus,5/3/2025 21:46,netral
Instagram,buat yaehujat kaum 58 .. percaya lah kita membutuhkan mereka buat,5/3/2025 21:46,netral
Instagram,anak abah aja udah dari dulu,5/3/2025 21:46,netral
Instagram,ambisngin macane dadi,5/3/2025 21:46,netral
Instagram,ingat kata ; 'karena kita tidak punya uang' 😂😂😂😂,5/3/2025 21:46,netral
Instagram,hancur indonesia sedang jgn diam,5/3/2025 21:46,netral
Instagram,mulyono season,5/3/2025 21:46,netral
Instagram,ini akun partai opo pedeipe ya???,5/3/2025 21:46,netral
Instagram,pas masih pemilu ga pada sadar kalo doi kepilih bakal 3 periode? 😂,5/3/2025 21:46,netral
Instagram,ndasmu 😂,5/3/2025 21:46,netral
Instagram,semanga anak abah dlncarkan su rezekiny d mudahkan sgla urusany 😍,5/3/2025 21:46,netral
Instagram,ganti script 😂,5/3/2025 21:46,netral
Instagram,gausah ..... hayo siapa yg dulu milih dia .....,5/3/2025 21:46,netral
Instagram,sama ..ane anti mulyono ..eh pake segala gabung ke kolam ni bapa tua anti jendral,5/3/2025 21:46,netral
Instagram,loh yang di sini 5 periode 🤭,5/3/2025 21:46,netral
Instagram,ngaku ut sama ...,5/3/2025 21:46,netral
Instagram,indonesia semakin suram 🙈,5/3/2025 21:46,netral
Instagram,"gatau alaupun kena imbasnya snaknya ga berperan dalam """"",5/3/2025 21:46,netral
Instagram,e mahasisa yang yang di demo apa ya?? dtara? atau yang laiya?.. harus nya demo kapan diketok pal r perampasan aset ... kapan di ketok . r kemungkinan kecil akan terjadinya korupsi 🥹,5/3/2025 21:46,netral
Instagram,ap ini @,5/3/2025 21:46,netral
Instagram,tau ah,5/3/2025 21:46,netral
Instagram,setuju bgt krn pemimpin skrng adlh bonekanya 😂😂😂 krn kartu as nya di pegang ..... sudahlah 😂😂. klo kata presiden >> yg penting jd presidtah rakyat konoha komentar apa sama halnya dengan akilnya #dalamhatingmngnya 👏👏👏🔥🔥🔥😂😂,5/3/2025 21:46,positif
Instagram,😂😂😂👏🔥,5/3/2025 21:46,netral
Instagram,badutnya,5/3/2025 21:46,netral
Instagram,lanjut ke akun ke 3 apa ndak ini ?,5/3/2025 21:46,netral
Instagram,katanya sih menuju indonesia emas g malah cemas ini gimana min 😂,5/3/2025 21:46,netral
Instagram,siun presideya indonesia masih akan tetap . coba deh pada mikir dari rezim orde baru emang ada presiden yang bisa bahagiain rakyat? klo menurut g kayaknya kagak . cobnak 80an yang seangkat g ada yg bisa jaab?,5/3/2025 21:46,netral
Instagram,anak abah anak,5/3/2025 21:46,netral
Instagram,tanganbesi tak berpindah!!!🚨,5/3/2025 21:46,netral
Instagram,dndonesia sebenarnya indah nyaman tp beritanya tentang hujat menghujaerus jd g bahagia rakyat,5/3/2025 21:46,netral
Instagram,puasa jgn gibah mulu lah,5/3/2025 21:46,netral
Instagram,"salah nya rakyat mengapa salah pilih sdh salah pilih presiden , berharap ada perubahan keadilan sosial bagi seluruh",5/3/2025 21:46,netral
Instagram,ig pak boo gelap y?🔥,5/3/2025 21:46,netral
Instagram,r3zim,5/3/2025 21:46,netral
Instagram,tetap berdiri di atas negara yg udah .,5/3/2025 21:46,netral
Instagram,kamuflase 😭,5/3/2025 21:46,netral
Instagram,baru 3 aroma 4 periode sudah tercium,5/3/2025 21:46,netral
Instagram,🤮🤮🤮🤮🤮🤮,5/3/2025 21:46,netral
Instagram,🔥🔥🔥🔥menuju indonesia,5/3/2025 21:46,netral
Instagram,lebieran dgn yg milih .. seakan semua baik2,5/3/2025 21:46,netral
Instagram,ada link ggle drive nya ga min? manduh gambarnya buat kaos,5/3/2025 21:46,netral
Instagram,😂😂😂😂😂 bener,5/3/2025 21:46,netral
Instagram,padat dan,5/3/2025 21:46,netral
Instagram,yes🔥🔥🔥🔥,5/3/2025 21:46,netral
Instagram,jangan gitu ini memicu pemujanya utk menongol dan membela ...😂😂😂😂,5/3/2025 21:46,netral
Instagram,"ya bang mf malah sekarang para perugi rakyat ketahuan "" oke",5/3/2025 21:46,netral
Instagram,sudah parah 😢 mau memperkaya keluargtau pendukung buat negara sendiri jangan di negara karena mengorbankan rakyat😢,5/3/2025 21:46,netral
Instagram,alah 😂,5/3/2025 21:46,netral
Instagram,suarakan teruuakyat 🔥🔥🔥,5/3/2025 21:46,netral
Instagram,2024 ganti pleciden padahal mah cmn ganti casingnya doang😂😂😂,5/3/2025 21:46,netral
Instagram,hanya ganti,5/3/2025 21:46,netral
Instagram,karna 58% yg pas masa kampanye ngnya mintmpun padahal mereka korban buer😂,5/3/2025 21:46,netral
Instagram,salah 1 komika bilang: dia cuman pngen menang . tanung jaab sbagai seorang presiden yg berakal sehat mah dia,5/3/2025 21:46,netral
Instagram,katanya mau jadi rakyat biasa?,5/3/2025 21:46,netral
Instagram,dari perjal si aal nya sdh,5/3/2025 21:46,netral
Instagram,betul ugha😢,5/3/2025 21:46,netral
Instagram,ketika pemilihan siun calon pemimpiya jika disokong pemerintah udah pasti,5/3/2025 21:46,netral
Instagram,kacu 😂😂😂,5/3/2025 21:46,netral
Instagram,belum tag orangnya bang?,5/3/2025 21:46,netral
Instagram,😢😢😢😢😢😢,5/3/2025 21:46,netral
Instagram,turut turut berduka ... sampe kapan kita haruabar & nunu? 🔥🔥,5/3/2025 21:46,netral
